Lexp;Cen.;Doc.venda;Material;Cluster produto;Segmento produto certo; Quantidade da Remessa (Peso Bruto) ;Numero da Remessa;No.OT;Transportadora;Tipo de Veículo;Itin.;Itinerário OV;EmissorOrd;Motivo Carga Urgente TD;KM Rodado;Incoterm;Valor Individual (R$);Local TD;UF Origem;Transportador TD;Produto TD;Segmento TB;Segmento+Gases;Macro-Segmento;Cliente TD;Cidade TD;Base (Cliente - Cidade);UF Cliente;Planta/Cliente/Terminal;Rota;Tipo de Venda TD;Mês;Mês TD;ANO;Data;Região Destino;Dia da Semana;Pool Transportadora;Veículo Detalhado;Veículo;Tipo de Rota;Código Share;% Share Contrato;Frete Contrato (R$/t);Frete por Viagem (R$);Volume Limite Mês (kg);Business;segmento;Cluster;Business - Cluster;Limite de Cargas Urgentes (Mês);Data Criação SML;Status SML;SML;Tecnologia;Placa Cavalo;Placa Carreta;Ultimo status SML;Prioridade (Hermes);Data/Hora de Agendamento;Chegada na Origem;Status da Chegada na Origem;Delta (Real-Agendado) h;Franquia do Produto-Expedição;Saída da Origem;Status da Saída na Origem;Excedente/Restante Franquia Carga (h);Tipo de Atraso Carga;Horário Nota Fiscal;Delta (Saída-NF) min;Status CTE;Permanência Origem (h);Previsão de Entrega;Previsão Entrega (Início);Previsão Entrega (Fim);Chegada no Destino;Delta (Chegada-Previsão);On Time Delivery (OTD);Tipo de Chegada (Cliente);Saída do Destino;Permanência no Destino (h);Franquia Descarga;Sobreestadia (h);Presença de Sobreestadia;Tarifa Sobreestadia;Valor Sobreestadia;Grau da Espera;Responsável (Inválida);Tempo Operação;Ilha Produto;Turno;Ilha Segmento;Tempo Teórico Carregamento;Tempo Teórico Carregamento(h);Tempo de Carregamento E-track (hrs);Tempo de Descarga E-track (hrs);Tempo de Carga GTG (hrs);Meta Tempo de Carga GTG (hrs); Distância;UMD;Fim da Validade;ZFRE;Transit Time;Should Cost;Origem;origem latitude;origem longitude;Destino;destino latitude;destino longitude
E024;SP22;50768794;PIB32TR;Especialidades;V&S;;805554920;103929430;301495;TRULIQ-CIF;BR7025;MEQ031       ;3000013389;;74;CIF;R$1.867,75;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;DMR Group;Guarujá;DMR Group - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Truck;Truck;Regular;217-A;100%;;R$1.867,75;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708241;Sascar;FRK6945;fqk1371;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:31;3:00;9/1/2020;Excedente;3:58;Atraso no Processo de Carregamento; ; ; ;6,97;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-5,45;ADIANTADO;Fora da data de entrega;9/1/2020;1,525000001;1783;0;Sem Sobreestadia; ; ;0 a 5h;;10,06666667;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;7,516666667;1,533333333;6,8;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768794;PIB32TR;Especialidades;V&S;784;805554920;103929430;301495;TRULIQ-CIF;BR7025;MEQ031       ;3000013389;;74;CIF;R$0,00;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;DMR Group;Guarujá;DMR Group - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Truck;Truck;Regular;217-A;100%;;R$1.867,75;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708241;Sascar;FRK6945;fqk1371;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:31;3:00;9/1/2020;Excedente;3:58;Atraso no Processo de Carregamento; ; ; ;6,97;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-5,45;ADIANTADO;Fora da data de entrega;9/1/2020;1,525000001;1784;0;Sem Sobreestadia; ; ;0 a 5h;;10,06666667;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;7,516666667;1,533333333;6,8;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768794;PIB32TR;Especialidades;V&S;7.056,00;805554920;103929430;301495;TRULIQ-CIF;BR7025;MEQ031       ;3000013389;;74;CIF;R$0,00;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;DMR Group;Guarujá;DMR Group - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Truck;Truck;Regular;217-A;100%;;R$1.867,75;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708241;Sascar;FRK6945;fqk1371;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:31;3:00;9/1/2020;Excedente;3:58;Atraso no Processo de Carregamento; ; ; ;6,97;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-5,45;ADIANTADO;Fora da data de entrega;9/1/2020;1,525000001;1785;0;Sem Sobreestadia; ; ;0 a 5h;;10,06666667;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;7,516666667;1,533333333;6,8;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768794;PIB32TR;Especialidades;V&S;7.840,00;805554920;103929430;301495;TRULIQ-CIF;BR7025;MEQ031       ;3000013389;;74;CIF;R$0,00;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;DMR Group;Guarujá;DMR Group - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Truck;Truck;Regular;217-A;100%;;R$1.867,75;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708241;Sascar;FRK6945;fqk1371;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:31;3:00;9/1/2020;Excedente;3:58;Atraso no Processo de Carregamento; ; ; ;6,97;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-5,45;ADIANTADO;Fora da data de entrega;9/1/2020;1,525000001;1786;0;Sem Sobreestadia; ; ;0 a 5h;;10,06666667;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;7,516666667;1,533333333;6,8;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768814;PIB24TR;Especialidades;V&S;;805554916;103929419;301495;CARLIQ-CIF;BR7025;MEQ036       ;3000009222;;74;CIF;R$2.147,91;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;De Monchy;Guarujá;De Monchy - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Carreta;Carreta;Regular;216-A;100%;;R$2.147,91;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708240;Sascar;ESU6743;fqw2601;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:16;3:00;9/1/2020;Excedente;2:37;Atraso no Processo de Carregamento; ; ; ;5,62;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-7,2;ADIANTADO;Fora da data de entrega;9/1/2020;2,252222222;1787;0;Sem Sobreestadia; ; ;0 a 5h;;9,8;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;5,9;2,25;5,666666667;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768814;PIB24TR;Especialidades;V&S;4.704,00;805554916;103929419;301495;CARLIQ-CIF;BR7025;MEQ036       ;3000009222;;74;CIF;R$0,00;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;De Monchy;Guarujá;De Monchy - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Carreta;Carreta;Regular;216-A;100%;;R$2.147,91;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708240;Sascar;ESU6743;fqw2601;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:16;3:00;9/1/2020;Excedente;2:37;Atraso no Processo de Carregamento; ; ; ;5,62;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-7,2;ADIANTADO;Fora da data de entrega;9/1/2020;2,252222222;1788;0;Sem Sobreestadia; ; ;0 a 5h;;9,8;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;5,9;2,25;5,666666667;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768814;PIB24TR;Especialidades;V&S;15.680,00;805554916;103929419;301495;CARLIQ-CIF;BR7025;MEQ036       ;3000009222;;74;CIF;R$0,00;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;De Monchy;Guarujá;De Monchy - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Carreta;Carreta;Regular;216-A;100%;;R$2.147,91;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708240;Sascar;ESU6743;fqw2601;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:16;3:00;9/1/2020;Excedente;2:37;Atraso no Processo de Carregamento; ; ; ;5,62;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-7,2;ADIANTADO;Fora da data de entrega;9/1/2020;2,252222222;1789;0;Sem Sobreestadia; ; ;0 a 5h;;9,8;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;5,9;2,25;5,666666667;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768814;PIB24TR;Especialidades;V&S;1.568,00;805554916;103929419;301495;CARLIQ-CIF;BR7025;MEQ036       ;3000009222;;74;CIF;R$0,00;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;De Monchy;Guarujá;De Monchy - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Carreta;Carreta;Regular;216-A;100%;;R$2.147,91;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708240;Sascar;ESU6743;fqw2601;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:16;3:00;9/1/2020;Excedente;2:37;Atraso no Processo de Carregamento; ; ; ;5,62;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-7,2;ADIANTADO;Fora da data de entrega;9/1/2020;2,252222222;1790;0;Sem Sobreestadia; ; ;0 a 5h;;9,8;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;5,9;2,25;5,666666667;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E024;SP22;50768814;PIB24TR;Especialidades;V&S;1.568,00;805554916;103929419;301495;CARLIQ-CIF;BR7025;MEQ036       ;3000009222;;74;CIF;R$0,00;Q3 PIB;SP;Álamo;PIB;Especialidades;Especialidades;Especialidades;De Monchy;Guarujá;De Monchy - Guarujá;SP;Cliente;Santo André (SP) - Guarujá;Venda;9;Set;2020;9/1/2020;Sudeste;3ª Feira;BID 2019;Carreta;Carreta;Regular;216-A;100%;;R$2.147,91;1.630.000;Especialidades;ESPECIALIDADES;Business Focus;Especialidades - Business Focus;;31/8/20 0:00;Válida;18708240;Sascar;ESU6743;fqw2601;FINALIZADO;Reativo;9/1/2020;9/1/2020;ADIANTADO;0:16;3:00;9/1/2020;Excedente;2:37;Atraso no Processo de Carregamento; ; ; ;5,62;02/09/2020 das 00:00 às 23:59;9/2/2020;9/2/2020;9/1/2020;-7,2;ADIANTADO;Fora da data de entrega;9/1/2020;2,252222222;1791;0;Sem Sobreestadia; ; ;0 a 5h;;9,8;Q3 PIB - PIB;Manhã;Q3 PIB - Especialidades;3:00;;5,9;2,25;5,666666667;;74;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;GUARUJA;-23,9888;-46,258
E020;SP22;50775256;P531C3;Combustíveis;V&S;11.689,43;805558731;103930211;301103;VANLIQ-CIF;BR6987;BR6987       ;1000016067;;453;CIF;R$1.567,39;Q3 CK;SP;Contatto;C3-GLP (Propano/Butano);Combustíveis;Gases;Químicos;Ultragaz;Barueri;Ultragaz - Barueri;SP;Cliente;Santo André (SP) - Barueri;Venda;9;Set;2020;9/2/2020;Sudeste;4ª Feira;BID 2019;Bitrem/Vanderleia;Bitrem/Vanderleia;Regular;7-A;100%;R$118,00;R$0,00;1.400.000;Combustíveis;COMBUSTÍVEIS;Business Focus;Combustíveis - Business Focus;;1/9/2020 0:00;Válida;18716533;SIGhRA;CUN2594;DVT7057;FINALIZADO;Reativo;9/2/2020;9/2/2020;ADIANTADO;1:55;4:00;9/2/2020;Excedente;1:33;Atraso no Processo de Carregamento;2/9/2020 17:47;1:16;ATRASADO;5,55;03/09/2020 das 00:00 às 23:59;9/3/2020;9/3/2020;9/3/2020;6,9;NO PRAZO; ;9/3/2020;1,915000001;1392;0;Sem Sobreestadia; ; ;0 a 5h;;19,31666667;Q3 CK - C3-GLP (Propano/Butano);Manhã;Q3 CK - Gases;4:00;;7,483333333;1,916666667;7,683333333;3,54;49;KM;;;;;SANTO ANDRE;-23,6737;-46,5432;BARUERI;-23,5057;-46,879
